# 01 | delete 0：JavaScript中到底有什么是可以销毁的

#separator:tab
#html:true
JavaScript中delete操作值类型的返回值	"<pre><code class=""language-javascript"">console.log(delete 0); // true (操作值类型始终返回true)
console.log(delete ""hello""); // true
console.log(delete NaN); // true</code></pre>"
JavaScript类方法中的super调用示例	"<pre><code class=""language-javascript"">class Animal {
  constructor(name) {
    this.name = name;
  }
  
  speak() {
    return `${this.name} makes a noise.`;
  }
}

class Dog extends Animal {
  speak() {
    // 通过super调用父类方法
    return super.speak() + "" Woof!"";
  }
}

const rex = new Dog('Rex');
console.log(rex.speak()); // ""Rex makes a noise. Woof!""</code></pre>"
JavaScript静态方法中的super调用	"<pre><code class=""language-javascript"">class Base {
  static staticMethod() {
    return 'Base static method';
  }
}

class Derived extends Base {
  static staticMethod() {
    // 静态方法中super指向父类
    return super.staticMethod() + ' - called from Derived';
  }
}

console.log(Derived.staticMethod()); // ""Base static method - called from Derived""</code></pre>"
JavaScript构造方法中的super规则	"<pre><code class=""language-javascript"">class Vehicle {
  constructor(type) {
    this.type = type;
  }
}

class Car extends Vehicle {
  constructor(type, brand) {
    // 必须先调用super才能使用this
    super(type);
    this.brand = brand;
  }
  
  // 错误示例：未调用super前访问this
  // constructor() {
  //   console.log(this); // ReferenceError
  // }
}

const myCar = new Car('Sedan', 'Toyota');
console.log(myCar.brand); // ""Toyota""</code></pre>"
JavaScript对象字面量中的super使用	"<pre><code class=""language-javascript"">const parent = {
  greet() {
    return ""Hello from parent"";
  }
};

const child = {
  greet() {
    // 对象字面量中super指向原型对象
    return super.greet() + "" and child"";
  }
};

Object.setPrototypeOf(child, parent);
console.log(child.greet()); // ""Hello from parent and child""</code></pre>"
JavaScript箭头函数中使用super的限制	"<pre><code class=""language-javascript"">class Base {
  baseMethod() {
    return 'Base method';
  }
}

class Derived extends Base {
  // 错误示例：箭头函数不能使用super
  // arrowMethod = () => {
  //   return super.baseMethod();
  // }
  
  // 正确方法：使用普通方法
  normalMethod() {
    const arrow = () => super.baseMethod();
    return arrow();
  }
}

const obj = new Derived();
console.log(obj.normalMethod()); // ""Base method""</code></pre>"
JavaScript的[[HomeObject]]机制验证	"<pre><code class=""language-javascript"">let homeObject;

const obj = {
  method() {
    // 获取方法的[[HomeObject]]
    homeObject = Object.getPrototypeOf(this).constructor;
  }
};

class MyClass {
  classMethod() {
    homeObject = MyClass;
  }
}

// 验证对象方法的[[HomeObject]]
obj.method();
console.log(homeObject === Object); // true（obj的原型是Object）

// 验证类方法的[[HomeObject]]
const instance = new MyClass();
instance.classMethod();
console.log(homeObject === MyClass); // true</code></pre>"
JavaScript中super绑定的隐式丢失问题	"<pre><code class=""language-javascript"">class Parent {
  value = 42;
  
  getValue() {
    return this.value;
  }
}

class Child extends Parent {
  getParentValue() {
    const method = super.getValue;
    return method(); // 此时this为undefined（严格模式）
  }
}

const child = new Child();
// console.log(child.getParentValue()); // TypeError: Cannot read properties of undefined

// 正确做法：直接调用super.method()
class SafeChild extends Parent {
  getParentValue() {
    return super.getValue(); // 正确绑定this
  }
}</code></pre>"

# 15 | return Object.create(new.target.prototype)：做框架设计的基本功：写一个根类

#separator:tab
#html:true
JavaScript中new.target元属性使用示例	"<pre><code class=""language-javascript"">class Parent {
  constructor() {
    // new.target指向实际被实例化的类
    console.log(new.target.name);
  }
}

class Child extends Parent {
  constructor() {
    super(); // 传递new.target给父类
  }
}

// 测试
new Parent(); // 输出""Parent""
new Child();  // 输出""Child""（证明new.target指向子类）</code></pre>"
非派生类的构造器返回值规则	"<pre><code class=""language-javascript"">class BasicClass {
  constructor() {
    this.value = 42;
    // 返回原始值将被忽略
    return ""primitive"";
  }
}

class ReturnsObject {
  constructor() {
    // 返回对象将替换默认this
    return { custom: ""object"" };
  }
}

// 测试
const basic = new BasicClass();
console.log(basic.value); // 42（使用默认this）

const custom = new ReturnsObject();
console.log(custom.custom); // ""object""（使用返回对象）</code></pre>"
派生自null的类实现模式	"<pre><code class=""language-javascript"">class NullDerived extends null {
  constructor() {
    // 无法调用super()
    // 必须手动创建实例
    const instance = Object.create(new.target.prototype);
    // 添加属性
    instance.value = 42;
    return instance;
  }
  
  // 方法定义
  getValue() {
    return this.value;
  }
}

// 测试
const obj = new NullDerived();
console.log(obj.getValue()); // 42
console.log(Object.getPrototypeOf(obj) === NullDerived.prototype); // true</code></pre>"
框架根类的通用实现模式	"<pre><code class=""language-javascript"">class FrameworkRoot {
  constructor() {
    // 创建基于子类原型的实例
    const instance = Object.create(new.target.prototype);
    
    // 初始化逻辑
    instance.initialized = true;
    instance.createdAt = new Date();
    
    return instance;
  }
}

class Plugin extends FrameworkRoot {
  run() {
    return ""Plugin running"";
  }
}

// 测试
const plugin = new Plugin();
console.log(plugin.run()); // ""Plugin running""
console.log(plugin.initialized); // true</code></pre>"
构造器中的原型链维护解决方案	"<pre><code class=""language-javascript"">class CustomInstanceCreator {
  constructor() {
    // 返回自定义对象
    return { custom: ""value"" };
  }
}

class ChildClass extends CustomInstanceCreator {
  constructor() {
    super();
    // 必须手动设置原型链
    Object.setPrototypeOf(this, ChildClass.prototype);
    this.childProp = ""child"";
  }
}

// 测试
const child = new ChildClass();
console.log(child.childProp); // ""child""
console.log(child instanceof ChildClass); // true</code></pre>"
ES5与ES6构造过程对比	"<pre><code class=""language-javascript"">// ES5构造方式
function ES5Class(value) {
  this.value = value;
}
ES5Class.prototype.getValue = function() {
  return this.value;
};

// ES6类语法
class ES6Class {
  constructor(value) {
    this.value = value;
  }
  
  getValue() {
    return this.value;
  }
}

// 测试
const es5 = new ES5Class(42);
const es6 = new ES6Class(24);

console.log(es5.getValue()); // 42
console.log(es6.getValue()); // 24</code></pre>"
构造器返回值规则流程图实现	"<pre><code class=""language-javascript"">function constructorReturnRule(constructor) {
  try {
    const instance = new constructor();
    
    // 检查返回类型
    if (typeof instance === 'object' && instance !== null) {
      return '使用返回对象';
    } else {
      return '使用默认this';
    }
  } catch (e) {
    return '错误：' + e.message;
  }
}

// 测试
class ReturnObject { constructor() { return {} } }
class ReturnPrimitive { constructor() { return 42 } }
class ThrowError { constructor() { throw new Error('test') } }

console.log(constructorReturnRule(ReturnObject));     // ""使用返回对象""
console.log(constructorReturnRule(ReturnPrimitive));  // ""使用默认this""
console.log(constructorReturnRule(ThrowError));       // ""错误：test""</code></pre>"


# 16 | [a, b] = {a, b}：让你从一行代码看到对象的本质

#separator:tab
#html:true
JavaScript对象作为关联数组的证明	"<pre><code class=""language-javascript"">// 创建对象（关联数组）
const person = {
  name: ""Alice"",
  age: 30,
  // 动态计算键名
  [""user_"" + ""id""]: 12345
};

// 访问方式证明关联数组特性
console.log(person[""name""]); // ""Alice""（通过字符串键访问）
console.log(person[""age""]);  // 30（通过字符串键访问）
console.log(person.user_id);  // 12345（通过计算属性访问）</code></pre>"
JavaScript数组作为对象的证明	"<pre><code class=""language-javascript"">// 创建数组（索引数组）
const numbers = [10, 20, 30];

// 证明数组也是对象
console.log(typeof numbers); // ""object""
console.log(Array.isArray(numbers)); // true

// 添加非数字键属性
numbers.customProperty = ""value"";
console.log(numbers.customProperty); // ""value""

// 通过字符串索引访问
console.log(numbers[""0""]); // 10（等同于numbers[0]）</code></pre>"
JavaScript解构赋值错误分析及解决方案	"<pre><code class=""language-javascript"">const a = 100;
const b = 200;

// 错误示例：尝试解构普通对象
try {
  [x, y] = {a, b}; // TypeError: 对象不可迭代
} catch (e) {
  console.log(e.message);
}

// 解决方案1：使用Object.values转换为可迭代结构
const values = Object.values({a, b});
[x, y] = values;
console.log(x, y); // 100, 200

// 解决方案2：使用索引映射
({0: x, 1: y} = [a, b]);
console.log(x, y); // 100, 200</code></pre>"
JavaScript展开语法的属性复制特性	"<pre><code class=""language-javascript"">// 创建原型对象
const proto = { inherited: true };

// 创建对象（包含自有属性和原型属性）
const obj = Object.create(proto);
obj.ownProp = ""value"";

// 使用展开语法复制
const copy = { ...obj };

// 验证：只复制自有属性（忽略原型属性）
console.log(copy.ownProp); // ""value""
console.log(copy.inherited); // undefined</code></pre>"
JavaScript使用展开语法在数组和对象间转换	"<pre><code class=""language-javascript"">// 数组 → 对象转换
const arr = [100, 200];
const objFromArr = { ...arr };
console.log(objFromArr); // {0: 100, 1: 200}

// 对象 → 数组转换（需要实现迭代器）
const obj = { a: 300, b: 400 };
// 添加迭代器实现
obj[Symbol.iterator] = function*() {
  yield this.a;
  yield this.b;
};
const arrFromObj = [...obj];
console.log(arrFromObj); // [300, 400]</code></pre>"
JavaScript自定义迭代器实现	"<pre><code class=""language-javascript"">class CustomCollection {
  constructor(items) {
    this.items = items;
  }
  
  // 自定义迭代器
  *[Symbol.iterator]() {
    for (const item of this.items) {
      // 对每个元素进行处理
      yield item * 2;
    }
  }
}

// 使用自定义迭代器
const collection = new CustomCollection([1, 2, 3]);

// 支持展开语法和解构
console.log([...collection]); // [2, 4, 6]
const [first] = collection;
console.log(first); // 2</code></pre>"
JavaScript函数式替代对象封装模式	"<pre><code class=""language-javascript"">// 函数式编程替代对象封装
const createUser = (name, age) => ({
  getName: () => name,
  getAge: () => age,
  setName: newName => createUser(newName, age),
  setAge: newAge => createUser(name, newAge)
});

// 使用示例
const user = createUser(""Alice"", 30);
console.log(user.getName()); // ""Alice""

const updatedUser = user.setAge(31);
console.log(updatedUser.getAge()); // 31

// 数据不可变性
console.log(user.getAge()); // 30（原始数据未改变）</code></pre>"


# 17 | Object.setPrototypeOf(x, null)：连Brendan Eich都认错，但null值还活着

#separator:tab
#html:true
JavaScript中创建原子对象（无原型）	"<pre><code class=""language-javascript"">// 创建无原型的原子对象
const atomicObj = Object.create(null);

// 添加属性
atomicObj.name = ""Atomic Object"";
atomicObj.value = 42;

// 验证原型链
console.log(Object.getPrototypeOf(atomicObj)); // null
console.log(atomicObj.toString); // undefined（无继承方法）</code></pre>"
JavaScript创建派生自null的类	"<pre><code class=""language-javascript"">class NullDerived extends null {
  constructor() {
    // 必须手动创建实例
    const instance = Object.create(new.target.prototype);
    instance.createdAt = new Date();
    return instance;
  }
  
  // 类方法
  logCreation() {
    console.log(`Created at: ${this.createdAt}`);
  }
}

// 测试
const obj = new NullDerived();
obj.logCreation(); // 输出创建时间
console.log(obj instanceof NullDerived); // true</code></pre>"
JavaScript证明数组本质是对象	"<pre><code class=""language-javascript"">const arr = [1, 2, 3];

// 1. 添加非数字键属性
arr.customProperty = ""value"";
console.log(arr.customProperty); // ""value""

// 2. 通过字符串索引访问
console.log(arr[""0""]); // 1（等同于arr[0]）

// 3. 检查类型
console.log(typeof arr); // ""object""
console.log(arr instanceof Object); // true</code></pre>"
JavaScript实现原子函数类	"<pre><code class=""language-javascript"">class AtomicFunction extends null {
  constructor() {
    // 创建函数实例
    const func = function() {
      return ""Called atomic function"";
    };
    
    // 设置原型链
    Object.setPrototypeOf(func, new.target.prototype);
    return func;
  }
}

// 设置类原型链
Object.setPrototypeOf(AtomicFunction, Function);
Object.setPrototypeOf(AtomicFunction.prototype, null);

// 测试
const atomicFunc = new AtomicFunction();
console.log(atomicFunc()); // ""Called atomic function""</code></pre>"
JavaScript代理对象的原子行为拦截	"<pre><code class=""language-javascript"">const target = {};
const handler = {
  // 拦截属性获取
  get: function(target, prop) {
    console.log(`Getting property: ${prop}`);
    return prop in target ? target[prop] : 42;
  },
  
  // 拦截属性设置
  set: function(target, prop, value) {
    console.log(`Setting property: ${prop} = ${value}`);
    target[prop] = value;
    return true; // 表示成功
  },
  
  // 拦截原型访问
  getPrototypeOf: function(target) {
    console.log(""Accessing prototype"");
    return Object.getPrototypeOf(target);
  }
};

const proxy = new Proxy(target, handler);

// 测试代理行为
proxy.name = ""Alice""; // 日志: Setting property: name = Alice
console.log(proxy.age); // 日志: Getting property: age → 输出: 42
Object.getPrototypeOf(proxy); // 日志: Accessing prototype</code></pre>"
JavaScript手动实现数组迭代功能	"<pre><code class=""language-javascript"">// 创建无原型数组对象
const arrayLike = Object.create(null);
arrayLike[0] = ""A"";
arrayLike[1] = ""B"";
arrayLike[2] = ""C"";

// 手动添加迭代器
arrayLike[Symbol.iterator] = function() {
  let index = 0;
  return {
    next: () => {
      if (index in this) {
        return { value: this[index++], done: false };
      } else {
        return { done: true };
      }
    }
  };
};

// 测试迭代功能
console.log([...arrayLike]); // [""A"", ""B"", ""C""]
for (const item of arrayLike) {
  console.log(item); // 输出 A, B, C
}</code></pre>"
JavaScript创建原子日期对象	"<pre><code class=""language-javascript"">class AtomicDate extends null {
  constructor() {
    // 创建日期实例
    const date = new Date();
    
    // 设置原型链
    Object.setPrototypeOf(date, new.target.prototype);
    return date;
  }
}

// 设置类原型链
Object.setPrototypeOf(AtomicDate, Date);
Object.setPrototypeOf(AtomicDate.prototype, null);

// 测试
const atomicDate = new AtomicDate();
console.log(atomicDate instanceof Date); // true
console.log(atomicDate.toISOString()); // 输出当前ISO时间字符串</code></pre>"
JavaScript实现原子数组类	"<pre><code class=""language-javascript"">class AtomicArray extends null {
  constructor(...items) {
    const arr = [];
    items.forEach(item => arr.push(item));
    
    // 设置原型链
    Object.setPrototypeOf(arr, new.target.prototype);
    return arr;
  }
}

// 设置类原型链
Object.setPrototypeOf(AtomicArray, Array);
Object.setPrototypeOf(AtomicArray.prototype, null);

// 测试
const atomicArr = new AtomicArray(1, 2, 3);
console.log(atomicArr.length); // 3
console.log(atomicArr.map(x => x * 2)); // [2, 4, 6]</code></pre>"


# 18 | a + b：动态类型是灾难之源还是最好的特性？（上）
#separator:tab
#html:true
JavaScript原始值类型验证	"<pre><code class=""language-javascript"">// 原始值特性验证
const values = [
  ""hello"",        // string
  42,              // number
  true,            // boolean
  Symbol(""id""),    // symbol
  100n,            // bigint
  undefined,       // undefined
  null             // null
];

values.forEach(value => {
  console.log(`类型: ${typeof value}, 有方法: ${!!value.toString}, 有原型: ${!!Object.getPrototypeOf(value)}`);
});

// 验证原始值不可变性
let str = ""abc"";
let str2 = str;
str = ""def"";
console.log(str2); // ""abc""（证明原始值不可变）</code></pre>"
JavaScript值类型与对象转换（装箱拆箱）	"<pre><code class=""language-javascript"">// 装箱：原始值转对象
const num = 42;
const numObj = Object(num); // 创建包装对象
console.log(typeof numObj); // ""object""
console.log(numObj instanceof Number); // true

// 拆箱：对象转原始值
const strObj = new String(""text"");
const strValue = strObj.valueOf(); // 获取原始值
console.log(typeof strValue); // ""string""
console.log(strValue); // ""text""

// 私有槽验证
console.log(numObj[[NumberData]]); // undefined（用户无法访问私有槽）
console.log(numObj.valueOf()); // 42（通过公开方法访问）</code></pre>"
Symbol.toPrimitive自定义转换	"<pre><code class=""language-javascript"">const customObj = {
  value: 100,
  
  // 自定义转换逻辑
  [Symbol.toPrimitive](hint) {
    switch (hint) {
      case 'number':
        return this.value;
      case 'string':
        return `Value: ${this.value}`;
      case 'default':
        return this.value.toString(2); // 二进制表示
    }
  }
};

// 测试不同转换
console.log(+customObj); // 100 (数字转换)
console.log(`${customObj}`); // ""Value: 100"" (字符串转换)
console.log(customObj + 1); // ""1001"" (默认转换 - 二进制100 + 1)</code></pre>"
JavaScript著名隐式转换案例	"<pre><code class=""language-javascript"">// Gary Bernhardt 2012案例
console.log([] + {}); // ""[object Object]"" (数组转"""" + 对象转""[object Object]"")
console.log({} + []); // 0 ({}解释为空代码块，+[]转数字0)
console.log([] + []); // """" (空数组转空字符串)
console.log({} + {}); // NaN (对象转数字失败)

// 布尔转换陷阱
const emptyObj = {};
if (emptyObj) {
  console.log(""空对象为真值"");
} else {
  console.log(""空对象为假值"");
}</code></pre>"
JavaScript布尔转换规则	"<pre><code class=""language-javascript"">// Falsey值清单
const falseyValues = [
  undefined,
  null,
  0,
  NaN,
  """",
  0n
];

// Truthy值示例
const truthyValues = [
  ""0"", // 非空字符串
  [],   // 空数组
  {},   // 空对象
  function(){}
];

// 测试转换
console.log(""Falsey值测试:"");
falseyValues.forEach(val => {
  console.log(`${val} → ${Boolean(val)}`); // 全部为false
});

console.log(""\nTruthy值测试:"");
truthyValues.forEach(val => {
  console.log(`${val} → ${Boolean(val)}`); // 全部为true
});</code></pre>"
JavaScript显式与隐式转换对比	"<pre><code class=""language-javascript"">// 显式转换 - 推荐
const numStr = ""123"";
const explicitNum = Number(numStr); // 明确转换为数字
console.log(typeof explicitNum); // ""number""

// 隐式转换 - 易出错
const result = numStr + 1;
console.log(result); // ""1231"" (字符串拼接而非加法)

// 显式转换最佳实践
const userInput = document.getElementById(""input"").value;
const safeValue = Number(userInput) || 0; // 显式转换+默认值

// 运算符类型收敛
console.log(100 - ""10""); // 90 (数字运算)
console.log(100 + ""10""); // ""10010"" (字符串拼接)</code></pre>"
JavaScript特殊类型转换特性	"<pre><code class=""language-javascript"">// Symbol转换特性
const id = Symbol(""identifier"");
console.log(String(id)); // ""Symbol(identifier)""
console.log(Number(id)); // TypeError: Cannot convert a Symbol value to a number

// BigInt转换
const big = 100n;
console.log(big + 1n); // 101n (BigInt运算)
console.log(big + 1); // TypeError: Cannot mix BigInt and other types

// null的特殊性
console.log(typeof null); // ""object""
console.log(null instanceof Object); // false
console.log(null + 10); // 10 (null转0)</code></pre>"
JavaScript类型判断最佳实践	"<pre><code class=""language-javascript"">// 精确类型判断
function getType(value) {
  // null特殊处理
  if (value === null) return ""null"";
  
  // 基础类型
  const type = typeof value;
  if (type !== ""object"") return type;
  
  // 内置对象
  const toString = Object.prototype.toString.call(value);
  return toString.slice(8, -1).toLowerCase();
}

// 测试
console.log(getType(42)); // ""number""
console.log(getType([])); // ""array""
console.log(getType(null)); // ""null""
console.log(getType(new Date())); // ""date""
console.log(getType(Symbol())); // ""symbol""</code></pre>"


# 19 | a + b：动态类型是灾难之源还是最好的特性？（下）
#separator:tab
#html:true
JavaScript对象到原始值的转换规则	"<pre><code class=""language-javascript"">// 普通对象转换
const obj = {};
console.log(obj.valueOf() === obj); // true（返回对象自身）
console.log(obj.toString()); // ""[object Object]""

// 数组对象转换
const arr = [1, 2];
console.log(arr.valueOf()); // [1, 2]（返回数组本身）
console.log(arr.toString()); // ""1,2""

// Date对象转换（特殊顺序）
const now = new Date();
console.log(now.toString()); // 可读日期字符串
console.log(now.valueOf()); // 时间戳（数字）</code></pre>"
JavaScript加号运算符的转换机制	"<pre><code class=""language-javascript"">// 加号运算符的双阶段处理
function explainPlus(a, b) {
  const aPrim = a.valueOf && a.valueOf() !== a ? a.valueOf() : a.toString();
  const bPrim = b.valueOf && b.valueOf() !== b ? b.valueOf() : b.toString();
  
  if (typeof aPrim === ""string"" || typeof bPrim === ""string"") {
    return String(aPrim) + String(bPrim);
  } else {
    return Number(aPrim) + Number(bPrim);
  }
}

// 测试经典四连问
console.log(explainPlus([], {})); // ""[object Object]""
console.log(explainPlus({}, [])); // ""[object Object]""（实际浏览器中为0，因{}被解析为代码块）
console.log(explainPlus([], [])); // """"（空字符串）
console.log(explainPlus({}, {})); // ""[object Object][object Object]""（实际浏览器中为NaN）</code></pre>"
JavaScript中预期类型的应用场景	"<pre><code class=""language-javascript"">// 加号运算符的预期类型（无法确定）
const a = 10;
const b = ""20"";
console.log(a + b); // ""1020""（字符串连接优先）

// 等值运算的预期类型（default）
const num = 10;
const str = ""10"";
console.log(num == str); // true（都转为数字比较）

// 属性访问的预期类型（string）
const obj = { 1: ""one"", ""1"": ""ONE"" };
console.log(obj[1]); // ""ONE""（数字键转为字符串）</code></pre>"
JavaScript自定义转换逻辑（Symbol.toPrimitive）	"<pre><code class=""language-javascript"">class CustomConverter {
  constructor(value) {
    this.value = value;
  }
  
  // 自定义转换逻辑
  [Symbol.toPrimitive](hint) {
    switch (hint) {
      case ""number"":
        return this.value * 2;
      case ""string"":
        return `Value: ${this.value}`;
      default: // ""default""
        return this.value;
    }
  }
}

// 测试不同转换场景
const obj = new CustomConverter(10);
console.log(+obj);        // 20（数字转换）
console.log(`${obj}`);    // ""Value: 10""（字符串转换）
console.log(obj + 5);     // 15（默认转换）</code></pre>"
JavaScript显式转换最佳实践	"<pre><code class=""language-javascript"">// 数学运算：显式转为数字
function safeSum(a, b) {
  const numA = Number(a);
  const numB = Number(b);
  
  if (isNaN(numA) || isNaN(numB)) {
    throw new Error(""无效输入"");
  }
  
  return numA + numB;
}

// 字符串拼接：使用模板字符串
const user = { name: ""Alice"", age: 30 };
const message = `用户: ${String(user.name)}, 年龄: ${Number(user.age)}`;
console.log(message);

// 避免隐式转换陷阱
const value = ""100"";
const calculation = Number(value) + 50; // 150（显式转换）</code></pre>"
JavaScript特殊转换场景处理	"<pre><code class=""language-javascript"">// 大括号开头语句的处理
const result1 = {} + []; // 0（浏览器中{}被解释为代码块）
const result2 = ({} + []); // ""[object Object]""（正确结果）

// Date对象的特殊转换
const date = new Date();
console.log(date + 1000); // 字符串拼接（如""Fri Jul 17 2020 10:00:00 GMT+08001000""）
console.log(date * 2);    // 数字运算（时间戳*2）

// 避免==比较
console.log(0 == false);  // true（隐式转换）
console.log(0 === false); // false（严格相等）</code></pre>"
JavaScript类型转换函数实现	"<pre><code class=""language-javascript"">// 实现ToPrimitive逻辑
function toPrimitive(input, preferredType) {
  if (typeof input !== ""object"") return input;
  
  // 处理Date特殊类型
  if (input instanceof Date) {
    return preferredType === ""string"" ? input.toString() : input.valueOf();
  }
  
  // 处理自定义转换
  if (typeof input[Symbol.toPrimitive] === ""function"") {
    return input[Symbol.toPrimitive](preferredType || ""default"");
  }
  
  // 普通对象处理
  if (preferredType === ""string"") {
    return input.toString() || input.valueOf();
  } else {
    return input.valueOf() || input.toString();
  }
}

// 测试
console.log(toPrimitive([1, 2], ""string"")); // ""1,2""
console.log(toPrimitive(new Date(), ""number"")); // 时间戳（数字）</code></pre>"
JavaScript类型转换检测工具	"<pre><code class=""language-javascript"">// 创建转换检测对象
const conversionDetector = {
  calls: [],
  
  valueOf() {
    this.calls.push(""valueOf"");
    return this;
  },
  
  toString() {
    this.calls.push(""toString"");
    return ""[object Detector]"";
  },
  
  [Symbol.toPrimitive](hint) {
    this.calls.push(`Symbol.toPrimitive(${hint})`);
    return hint === ""string"" ? ""[custom]"" : 42;
  },
  
  reset() {
    this.calls = [];
  }
};

// 测试不同场景的转换顺序
conversionDetector.reset();
console.log(conversionDetector + 10);
console.log(conversionDetector.calls); // [""Symbol.toPrimitive(default)""]

conversionDetector.reset();
alert(conversionDetector);
console.log(conversionDetector.calls); // [""Symbol.toPrimitive(string)""]</code></pre>"


# 20 | (0, eval)("x = 100") ：一行让严格模式形同虚设的破坏性设计（上）
#separator:tab
#html:true
JavaScript eval函数的基本用法	"<pre><code class=""language-javascript"">// 基本eval使用
const expression = ""2 + 3 * 4"";
const result = eval(expression); // 计算表达式
console.log(result); // 14

// 字符串参数要求
console.log(eval(""012"")); // 10（8进制解析）
console.log(eval(""abc:1"")); // 1（标签语句）

// 非字符串参数
const obj = { value: 42 };
console.log(eval(obj)); // {value: 42}（直接返回非字符串参数）</code></pre>"
JavaScript执行环境类型验证	"<pre><code class=""language-javascript"">// 全局环境
console.log(""全局环境:"", typeof window !== ""undefined"" ? ""浏览器环境"" : ""Node环境"");

// 函数环境
function testFunctionEnv() {
  console.log(""函数环境:"", arguments.callee.name); // arguments.callee访问当前函数
}
testFunctionEnv();

// 模块环境
if (typeof import.meta !== ""undefined"") {
  console.log(""模块环境:"", import.meta.url);
}

// Eval环境
eval('console.log(""Eval环境内:"");');
</code></pre>"
JavaScript词法环境与变量环境	"<pre><code class=""language-javascript"">function demonstrateEnvironments() {
  // var变量 - 变量环境
  var functionScoped = ""函数作用域"";
  
  // let变量 - 词法环境
  let blockScoped = ""块作用域"";
  
  {
    // 同一个块内的新绑定
    let blockScoped = ""内部块作用域"";
    console.log(blockScoped); // ""内部块作用域""
  }
  
  console.log(functionScoped); // ""函数作用域""
  console.log(blockScoped); // ""块作用域""
}

demonstrateEnvironments();</code></pre>"
JavaScript严格模式下的eval环境	"<pre><code class=""language-javascript"">function strictEvalExample() {
  ""use strict"";
  var x = 100;
  
  // 严格模式下的eval
  eval('var y = 200; console.log(""eval内部y:"", y)'); // 200
  console.log(""外部y:"", typeof y); // ""undefined""（严格模式下隔离）
  
  try {
    eval('var x = 300;'); // 尝试修改外部变量
  } catch (e) {
    console.log(""错误:"", e.message); // 严格模式下无法修改外部变量
  }
  
  console.log(""外部x:"", x); // 100（未修改）
}

strictEvalExample();</code></pre>"
JavaScript间接eval调用技术	"<pre><code class=""language-javascript"">// 直接eval
function directEval() {
  var x = 100;
  eval('x = 200');
  console.log(""直接eval修改:"", x); // 200（非严格模式）
}

directEval();

// 间接eval
function indirectEval() {
  var x = 100;
  
  // 方法1：逗号操作符
  (0, eval)('x = 200'); // 间接调用
  
  // 方法2：赋值给变量
  const ev = eval;
  ev('x = 300');
  
  console.log(""间接eval修改:"", x); // 100（未修改，但在全局创建了变量）
}

indirectEval();

// 检查全局变量
console.log(""全局x:"", typeof x !== ""undefined"" ? x : ""未定义""); // 300</code></pre>"
JavaScript模块环境与严格模式	"<pre><code class=""language-javascript"">// 模块环境默认为严格模式
const moduleCode = `
  export default function test() {
    var x = 100;
    
    // 尝试非严格模式行为
    try {
      eval('var x = 200;');
      console.log(""模块内x:"", x);
    } catch (e) {
      console.log(""模块内错误:"", e.message);
    }
  }
`;

// 模拟模块执行（实际中通过import加载）
const executeModule = new Function('exports', 'module', moduleCode);
const module = { exports: {} };
executeModule(module.exports, module);

// 执行模块函数
module.exports.default();</code></pre>"
JavaScript eval环境隔离检测	"<pre><code class=""language-javascript"">function detectEvalEnvironment() {
  var varVariable = ""var变量"";
  let letVariable = ""let变量"";
  
  // 创建检测对象
  const detector = {
    getVar() {
      return varVariable;
    },
    getLet() {
      return letVariable;
    }
  };
  
  // 在eval中尝试访问变量
  eval(`
    try {
      console.log(""访问var变量:"", varVariable); // 非严格模式可访问
    } catch (e) {
      console.log(""var访问错误:"", e.message);
    }
    
    try {
      console.log(""访问let变量:"", letVariable); // 严格模式不可访问
    } catch (e) {
      console.log(""let访问错误:"", e.message);
    }
    
    // 尝试修改
    varVariable = ""eval修改的var"";
    try {
      letVariable = ""eval修改的let"";
    } catch (e) {
      console.log(""let修改错误:"", e.message);
    }
  `);
  
  console.log(""外部var变量:"", varVariable);
  console.log(""外部let变量:"", letVariable);
}

detectEvalEnvironment();</code></pre>"
JavaScript词法环境穿透技术	"<pre><code class=""language-javascript"">// 通过eval突破词法作用域
function lexicalScopeBreak() {
  let privateVar = ""私有数据"";
  
  // 正常情况下无法访问
  console.log(privateVar); // ""私有数据""
  
  try {
    // 直接访问失败
    eval('console.log(privateVar)');
  } catch (e) {
    console.log(""直接访问错误:"", e.message);
  }
  
  // 通过函数作用域突破
  const getPrivate = () => privateVar;
  const code = `(${getPrivate})()`;
  const result = eval(code);
  console.log(""通过函数访问:"", result);
}

lexicalScopeBreak();</code></pre>"


# 21 | (0, eval)("x = 100") ：一行让严格模式形同虚设的破坏性设计（下）

#separator:tab
#html:true
JavaScript直接调用eval示例	"<pre><code class=""language-javascript"">// 直接调用eval - 继承当前环境
function directEvalDemo() {
  ""use strict"";
  var privateVar = ""敏感数据"";
  
  // 直接调用尝试访问变量
  try {
    eval('console.log(privateVar);');
  } catch (e) {
    console.log(""直接调用错误:"", e.message); // 严格模式下无法访问私有变量
  }
  
  // 尝试修改严格模式限制
  try {
    eval('arguments = 100;'); // 严格模式下禁止修改arguments
  } catch (e) {
    console.log(""严格模式限制:"", e.message);
  }
}

directEvalDemo();</code></pre>"
